"Name";"Website";"Phone";"Address";"City";"State";"Zip";"Stars";"Country";"Details";"Logo URL*";"Kids Program URL";"Kids Program Detail";"Women Only Program URL";"Women Only Program Detail";"Other Programs (MMA/Boxing/Etc)";"Rate/Pricing(BJJ Only)";"Schedule URL";"Business Hour";"Head Professor";"Special Offer";"Email*";"Facebook URL";"Youtube Channel";"Video URL(Official Only)";"Awards*";"Multiple Locations(For Affiliates-Yes)";"Note"
"Boston Firearms Training Center";"http://www.bostonfight.com/";" +1 781-284-6677";"794 Broadway";"Revere";"MA";2151;;"United States";;;;;;;;;;;;;;;;;;;"Unavailable Website"
"Ann Arbor Brazilian Jiu-Jitsu";;" +1 877-477-1864";"4055 Stone School Rd";"Ann Arbor";"MI";48108;;"United States";;;;;;;;;;;;;;;;;;;"No Additional source found under this address."
"Ann Arbor Mixed Martial Arts";"http://www.annarbormma.com/";" +1 734-436-4958";"5204 Jackson Rd";"Ann Arbor";"MI";48103;"5/5 Stars";"United States";;;;;;;;;;;;;;;;;;;"Website currently underconstruction."
"Final Round Training Center";"http://finalroundannarbor.com/";" +1 734-548-9901";"3770 Plaza Dr";"Ann Arbor";"MI";48108;"1/5 Stars";"United States";"Expect Success

Whether your goal is weight loss, improved cardio conditioning, achieving martial arts mastery, or learning practical street self-defense, Final Round will help you with a systematic goal-based approach.  Our coaches will work with you to define your objectives and provide the personalized attention you need for sustained growth.

 

Get Started with a Free Pass

80% of life is showing up.  Show up for your first lesson with absolutely no risk, no obligation and no pressure sales tactics.  After you schedule your first visit, you’ll be greeted at the door and given the tour of our club.  We’ll leave you at the dressing room where you can change into your typical workout clothes.  One of our instructors will take you to our fitness area to run through the basic stances, footwork and techniques to ensure you’re ready for your first class.  Our instructor will answer your questions and give you the basic information about signing up.  We provide any equipment you may need at no charge.

 

Kick-Start!  Build Your Confidence and Skills with Discounted Private Lessons

Based on your experience in your first class, you have the option as a new member to purchase a package of 5 Kick-Start private lessons before attending our daily classes.  These significantly discounted private lesson rates are designed to encourage those students who feel they need extra attention and want to build confidence before joining group classes.  The option is yours.  If you feel you don’t need these, move on to your first class.

 

Your First Class

Armed with the basics after your private lesson, your first class will typically break down into warm-ups, intense activity mixed with coaching instruction, and a brief cool down.  The instructor will welcome you to the class and introduce you to the group.  The instructor or a senior student will also act as your mentor for the day, ensuring you get into the flow of the class.  After that, with continued effort and commitment you’ll be on your way to achieving your goals.";"http://finalroundannarbor.com/wp-content/uploads/2014/04/100.fw_.png";"http://finalroundannarbor.com/classes/childrens-fitness-classes/";"OUR CHILDREN’S PROGRAM DEVELOPS CONFIDENCE AND CHARACTER.

Our children’s fitness and development program is designed first and foremost to develop focused, disciplined, confident kids.  Martial arts provides a fun, practical way to encourage mental and physical well-being for even our youngest students.  Aimed at children from the ages of 6 to 13, our sessions teach the importance of values such as respect, perseverance, and goal-focus that are foundational for lifelong success in any of your children’s endeavors.

Our Children’s activities promote skill development, improvement in physical coordination, conditioning, and body awareness that will also translate into other sports or activities with which your child may be involved.  While our children learn practical self-defense, we focus on the self-confidence, verbal techniques and outreach tools that will help to avoid bullying or defuse situations that may lead to aggressive confrontation.

Our Children’s program integrates Muay Thai kickboxing, grappling, and Jiu Jitsu techniques that teach functional defense, evasion, escapes, and neutralizing an aggressor while minimizing the probability of injury to the attacker.   Classes move at a quick pace and will keep your child engaged, active and having fun.

As a first step, please feel free to drop in to observe any of our classes with or without your child.  Or email or call us anytime so we can discuss how a martial arts program may benefit your son or daughter.

* Please inquire about our promotional sign-up offer through March 1, 2017

WEEKLY CLASS TIMES

Monday:        5:00-6:00 PM (Jiu Jitsu)

Tuesday:        5:00-6:00 PM (Muay Thai)

Wednesday:  5:00-6:00 PM (Jiu Jitsu)

Thursday:      5:00-6:00 PM (Muay Thai)

Friday:           5:00-6:00 PM (Jiu Jitsu)

Saturday:      10:00-11:00 AM (Muay Thai)";"N/A";"N/A";"Muay Thai, MMA, Cardio KickBoxing, Boxing";"N/A";"https://clients.mindbodyonline.com/classic/mainclass?studioid=146494&tg=&vt=&lvl=&stype=-7&view=&trn=0&page=&catid=&prodid=&date=3%2f15%2f2018&classid=0&prodGroupId=&sSU=&optForwardingLink=&qParam=&justloggedin=&nLgIn=&pMode=0&loc=1";"Monday: 6:00 AM - 9:00 PM
Tuesday: 6:00 AM - 9:00 PM
Wednesday: 6:00 AM - 9:00 PM
Thursday: 6:00 AM - 9:00 PM
Friday: 6:00 AM - 9:00 PM
Saturday: 8:30 AM - 1:00 PM
Sunday: CLOSED";"Matee Jedepeetak";"1 free trial class offer!";"finalroundtrainingcenter@gmail.com";"https://www.facebook.com/finalroundannarbor/";"N/A";"N/A";"N/A";"No";
"Japanese Martial Arts Center";"http://japanesemartialartscenter.com/";" +1 734-720-0330";"2875 Boardwalk, Suite H";"Ann Arbor";"MI";48104;"5/5 Stars";"United States";"
Ann Arbor - Martial Arts Mecca

For the prospective martial arts student, Ann Arbor is a mecca in the Midwest. More than any other location in Michigan, Ann Arbor has a wide variety of martial arts styles taught by many well respected sensei (teachers). You can find training opportunities at community centers, college and university gyms, health clubs, fitness centers and dojos (training halls). Among the styles available are: aikido, iaido, judo, jiu-jitsu (also called jujutsu), karate, kendo, kung fu, MMA (mixed martial arts, sometimes called BJJ) tae kwon do, tai chi, and many westernized martial arts systems. At JMAC, we offer world class instruction in judo, jiu-jitsu, iaido (Japanese swordsmanship), and karate for kids.
Aikido

Aikido is a martial arts descended from jiu-jitsu. It includes joint locks, throws, takedowns, and pins. The philosophy of aikido is a peaceful one - to use the attacker’s energy to neutralize his or her attack without causing injury. Aikido is taught in several forms, such as Aikikai, Ki Society, and Yoshinkan. Aikido was founded by Ueshiba Morihei, who studied with Takeda Sokaku, the most famous practitioner of Daito Ryu Aiki-Jujutsu. Its principles can be found in almost every Japanese martial art, especially jiu-jitsu and judo. Read more about the physical and philosophical principles of Nihon Jujutsu.
Iaido in Ann Arbor

Iaido is Japanese sword drawing. It was created by the Samurai to defend against surprise attacks by an armed opponent. Most iaido involves the practice of pre-arranged forms, which are excellent tools for training the body, improving concentration, and entering into a meditative state. Finding a talented instructor in iaido with legitimate credentials is rare … in the Midwest it’s practically unheard of. For those with a desire to compete in swordsmanship for sport, kendo is the activity of choice. Those who are willing to endure an occasional whack on the head may pursue bokken kumite (sparring with wooden swords) with our director’s authorization once they reach black belt at JMAC. Read more about iaido at JMAC.
Ann Arbor Judo

Judo was founded by Professor Jigoro Kano. It is both a martial art and an Olympic sport. It includes throws, pins, joint locks, and chokes. It is among the most vigorous of martial arts and is very popular with children as well as adults. The Japanese Martial Arts Center offers classes in judo for children as young as 6 years old, and for adults (starting at age 16). One fact not widely known is that sport judo is a narrow cross section of the complete art of judo. Proponents of the entire art, such as Satoh Tadayuki Sensei of Waseda University in Tokyo, recognize that the founder’s vision encompassed not only “judo” throws, but joint locks, takedowns, redirection, strikes, vital points, dynamic ukemi, kata, and weapons. Judo training at JMAC includes many of these opportunities. Read more about Judo at JMAC.
Ann Arbor Jiu-Jitsu (Jujitsu / Jujutsu)

Jujutsu - which is also written ""jujitsu"" and ""jiu jitsu"" - is the ancestor martial art of aikido and judo. Although it includes many of the techniques found in aikido, as well as many more combative techniques that did not find their way into aikido, the philosophy of jujutsu is more practical. Techniques are applied more directly, with a greater emphasis on pain compliance. Those who study jiu-jitsu over the long term improve their fitness, concentration, and ability to defend themselves. The Japanese Martial Arts Center offers serious jiu-jitsu classes for adults starting at age 16. You can learn more about the differences between Japanese jujutsu and Brazilian jiujitsu.
Karate – Kids Karate in Ann Arbor

Karate involves mainly strikes, kicks, and blocks. It was originally developed in the Ryukyu Islands (now Okinawa), and was later exported to Japan before finding its way around the world. Karate is an excellent martial art for those who prefer striking, and helps develop physical strength, stamina, and confidence. There are many forms of karate taught around the world today, including Shotokan, Shorin-ryu, Chito-Ryu, Goju-Ryu, and Kyokushinkai. If you’re looking for a way to help your child learn enthusiasm, fitness, discipline, and manners while having a lot of fun, consider the kids karate program at JMAC. We have an incredible core of talented instructors who have made it their business to inspire kids to be their best. Read more about our karate program for kids.
Kendo

Kendo is a sport descended from Japanese swordsmanship. In Kendo, participants wear padded armor and attempt to score points by striking vital points with bamboo swords called ""shinai."" Practice is fast paced, involves much spirited shouting, and is a lot of fun. The Japanese Martial Arts Center does not offer kendo, but can refer you to a reputable kendo instructor in the area.
Kung Fu

Kung Fu is a Chinese martial art that actually includes many sub-styles. Like karate, kung fu involves strikes, kicks, and blocks, but also includes many esoteric motions that can be applied to take down or otherwise defeat an opponent. Kung fu often appeals to imaginative people because of the many references to animal forms, but it is also a very challenging and practical martial art.
MMA (Mixed Martial Arts)

MMA (mixed martial arts) to a modern competition-based collection of techniques. Most MMA schools teach striking as well as grappling. Although not a traditional martial art - and thus lacking many of the character development and spiritual aspects of ancient Asian arts - MMA is nevertheless a fantastic form of exercise and a lot of fun. Because many MMA fighters have employed judo and jujutsu successfully, the Japanese Martial Arts Center offers private instruction to top-level competitors as well as occasional workshops for our members.
Tae Kwon Do

Tae Kwon Do is the Korean counterpart to Japanese karate. As a striking art, it includes punches, kicks, and blocks, but typically Tae Kwon Do emphasizes more kicking than does karate. Competition (usually for points rather than full contact) is very common among Tae Kwon Do practitioners. It is an excellent form of exercise, but seems more susceptible to commercialization than more traditional arts such as aikido and iaido.
Tai Chi

Tai Chi is another form of Chinese martial art. It is usually taught with slow, controlled movements and deep stances. There are many health benefits associated with Tai Chi, including strong bones, cardiovascular health, and calmness.
Getting Started in Martial Arts in Ann Arbor

If you are considering taking up martial arts, you will find many superb opportunities in and around Ann Arbor, including outlying cities such as Brighton, Canton, Howell, Northville, and Plymouth. Students from the University of Michigan, Eastern Michigan University, Washtenaw Community College, Cleary College, and even Michigan State University have supplemented their education with martial arts and found that the physical activity helps them concentrate on their studies. We think the Japanese Martial Arts Center offers the best programs in Michigan, but we’re interested in people who are willing to work hard and do what it takes to become truly accomplished. We encourage you to look around to find the martial arts club or school that best meets your needs.";"https://japanesemartialartscenter.com/img/japanese-martial-arts-center.png";"https://japanesemartialartscenter.com/kids";"Martial Arts For Kids
Parents call us almost every day to ask about our kids martial arts programs.

The most frequent questions we get asked are:

“Can you help my child focus?”

“Can you teach my child some discipline?” or

“My child is getting bullied at school. Can you help?”

It’s very common to wonder about whether martial arts will be good for your child, and maybe if karate or judo will offer your child something he or she won’t get in school or while playing with friends.
Teaching Kids Great Values and Safe Martial Arts in Ann Arbor

Wouldn't it be helpful for you to stop in and watch a kids martial arts class with your child to make sure the environment is positive and safe? Wouldn't it be helpful if you knew what your child will experience, and that they wouldn’t be asked to do anything dangerous or violent, but would get in shape, learn good values, and develop habits to help them succeed at home and in the world?

Most of our instructors are parents, too, and like you we hope our children will develop their full potential, have a great self image, and be able to apply focus and patience to achieving their aims in life. We’d all love it if our kids were healthy and respectful at home, too.
Thoughtful, Carefully Developed Martial Arts for Ann Arbor Kids

We teach kids in a very carefully developed, thoughtful way. We disguise most of the learning as fun, and we vary the rhythm of class to keep them interested. You’ll see how our kids are learning to move well, to pay attention to their instructors, and to love the learning process. Most days, you’ll be able to see a range of abilities, from the newcomer who is often shy and who has trouble doing the stances and movements, to the child who has been attending for a year or two who moves sharply, pays attention, and who is beginning to become a role model for the other kids. When you and your child have seen a class and you’re ready for your child to try it out, you can set up the private intro lessons with one of our black belt instructors.
Kids Martial Arts - One Safe, Joyful Step at a Time!

The first step in developing young martial artists is to help them learn to love the experience. The second step is to let them feel the connection between joyful practice and accomplishment. The third step is to pay close attention and make sure we’re giving them what they need to feel engaged, and what they need to feel they're making progress. We’ve carefully developed our program to follow this plan, and it really pays off for the kids at JMAC. We think you’ll be delighted to watch your child grow, too!";"https://japanesemartialartscenter.com/women";"Martial Arts for Women in Ann Arbor

We’ve worked with a lot of great female martial artists over the years, and many have really seized the chance to master a traditional Japanese martial art. But for many women, concern about going into an unfamiliar dojo can be huge. We’ve listened, and some of the issues women have mentioned to us are:

“Will I be able to do martial arts?”

“Is your dojo full of macho men?”

Or sometimes just really simple questions like:

“Will I be welcomed by the others?”

Or “Is your dojo a clean, welcoming place?”

Many women who joined us started out with these worries or other concerns about taking up martial arts. Our guess is that it would be helpful if you could stop in and watch a class without being pressured, to ensure it's safe and welcoming.

Would it also be helpful if you knew that we’ve had girls as young as six and women as old as sixty-five train successfully at our dojo, and among our ranks are women who achieved not just black belt, but higher levels of black belt? We create a tough but reasonable environment that helps both men and women achieve their goals, and we’d be very interested in learning what concerns you about starting out in the martial arts.

You’ve probably heard about all the benefits of a good martial arts program: greater confidence, improved mental focus, an understanding of Japanese budo culture, and the ability to defend yourself. Wouldn’t you like to experience the relaxed confidence of someone whose physical and mental balance functions at a high level, who sweats with confidence and joy while building expert skills, and who can move with power and grace? We think that sounds GREAT!
The Mastery Process - Women in the Martial Arts

Our entire curriculum is centered around the mastery process. We're interested in developing all our students, and since each person comes to us with abilities, there’s no “one size fits all” approach at JMAC. We pay attention to what you do well, assist you at improving moves you find difficult, and offer guidance about what you can outside the dojo to improve your mental and physical fitness. We don’t tolerate bullying. Our mission is to create an atmosphere of mutual cooperation and development. Our standards are high, but we’re here to help you achieve!

You start out at JMAC by watching a class. If the training is something you'd like to try, you can arrange two private intro lessons with no cost or obligation. In those lessons, we’ll teach you the basic etiquette of Japanese martial arts as well as a few fundamentals of your martial art. After you’ve completed those lessons we’ll explain what it takes to get started. There's no pressure  - we only want students at JMAC who truly want to be here, who are seriously interested in self-improvement.";"N/A";"https://japanesemartialartscenter.com/fees";"https://japanesemartialartscenter.com/schedule";"Monday: CLOSED
Tuesday: 12:00 PM - 1:00 PM, 5:00 PM - 9:00 PM
Wednesday: 5:00 PM - 9:00 PM
Thursday: 12:00 PM - 1:00 PM, 5:00 PM - 9:00 PM
Friday: 5:00 PM - 8:00 PM
Saturday: 9:00 AM - 3:00 PM
Sunday: CLOSED";"Nicklaus Suino";"1 intro class offer!";"info@japanesemartialartscenter.com";"https://www.facebook.com/Japanese.Martial.Arts.Center";"N/A";"N/A";"N/A";"No";
"URSA Academy";"http://www.ribeirojjannarbor.com/";" +1 734-369-8509";"3981 Varsity Dr";"Ann Arbor";"MI";48108;;"United States";"We specialize in Beginner friendly Self-Defense based Jiu Jitsu for Adults through Intermediate & Advanced Jiu Jitsu instruction suitable for the most seasoned competitors, as well as ""Bully Breakthrough"" Self Defense & Sport Jiu Jitsu for Kids. ​Our curriculum is designed & written by Black Belt Kris Magers & former professional educator Amy Magers.";"https://scontent.fdac6-1.fna.fbcdn.net/v/t1.0-1/c3.0.200.200/p200x200/11401020_10155722935390565_7714111977471729000_n.jpg?_nc_eui2=v1%3AAeHwJ-35eFDUNGzI7HWddZkvlAiUgSemIGXenpTD_uW4GvLrnXym36MDVOt4d-AceybNh9GOCWEYvj3DHi_h2zas5gxPa1lBzlwZsYdqn20IlQ&oh=48d273c71aa161fcf465b1e2bc4e8ba3&oe=5B46224F";"https://www.ribeirojjannarbor.com/youth-martial-arts.html";"What will YOUR child gain by training in URSA Academy’s Kids Self Defense & Brazilian Jiu Jitsu program?
Kids Learn How To Defend Themselves - Many different martial arts claim to teach self-defense, but not every style is practical in the real world. With the majority of physical altercations ending up on the ground, especially in the schoolyard, children must be prepared to defend themselves on the ground and control a bully without ever throwing a punch! Brazilian Jiu Jitsu is the non-violent, submission based self-defense system, trusted by everyone from our military and first responders to air marshals to defend themselves, diffuse a situation, and control an adversary.
​
Build Confidence & Improve Their Behavior - Kids with high self confidence & high self esteem are happier & healthier, tend to have better behavior and fewer tantrums or lash outs, and they are much less likely to be targets for bullies! Jiu Jitsu is an individual sport that celebrates personal achievement and goal setting, and helps children understand their own body type as they develop a style that works to highlight their strengths, and minimize their weaknesses, and helps them become comfortable in their own skin.

Its Great For Their Health! - Childhood obesity is on the rise with roughly 1 in 3 children classified as overweight. Schools are cutting the amount of time spent in gym, outdoor free play, and recess. In order for children to be physically healthy and maintain healthy bodies, they MUST participate in physical activity outside of school. Martial arts is a fantastic option for ALL children, especially those children who might, “ride the bench,” in team sports. Brazilian Jiu Jitsu is designed for the smaller weaker opponent to be able to outskill and beat a much larger opponent. It will challenge everyone from the non-athlete to the superstar, and everyone in between. 
​
They Get To Make Great Friends - Physical, emotional, and mental health are important, but what about “social health?’ Every kid needs friends, teammates, and mentors. Martial arts is a rare example of a sport where boys and girls practice together, leading to twice as many opportunities to build friendships. If your child makes friends easily, GREAT! They’ll make many more. If your child struggles to make friends or has some social difficulty in school, the environment at URSA Academy with other kids who share similar interests and experiences may be just what they need to break out of their shell, make friends, and have fun!

Kids 'Bully Breakthrough' Self-Defense
“Bully Breakthrough” Self-Defense! A MUST for kids ages 7 - 14!

Kids develop instincts, boost confidence, & learn techniques to defend themselves! The majority of schoolyard/bully altercations end up on the ground, and most martial arts & self defense classes focus on techniques that can only be used while standing. ​

URSA Academy’s “Bully Breakthrough” self-defense class teaches students what to do both standing AND on the ground. From prevention & how to diffuse a situation to stand-up techniques, and controlling an opponent on the ground with Brazilian Jiu Jitsu submissions and defenses. These techniques are then drilled in a fun and safe environment to develop muscle memory and proper instincts. Our kids have a blast learning real Brazilian Jiu Jitsu self defense while getting fit & athletic through focused drilling and high energy classes.

Kids Brazilian Jiu Jitsu
Designed for students who have graduated from our Kids ‘Bully Breakthrough’ Self-Defense program, or those students coming to URSA Academy with BJJ grappling experience, our Kids Advanced Brazilian Jiu Jitsu program goes beyond the basics into fun and dynamic intermediate & advanced level self defense, grappling, and sport jiu jitsu.

​In our 60 minute KABJJ classes, Black Belt Professor Kris Magers leads students through conditioning exercises, focused technique, fun flow drills, high energy reps, and disciplined live sparring guaranteed to increase your child’s level of physical fitness, athleticism, self defense skill, strategic thinking and overall jiu jitsu prowess. This program follows the International Brazilian Jiu Jitsu Federation’s system of belt ranking and promotion which holds up anywhere in the world!

But. Brazilian Jiu Jitsu is about so much more than advanced techniques, self-defense, and rolling! The Kids Advanced Brazilian Jiu Jitsu class strongly emphasizes character development through mat chats with our coaches, positive relationships with teammates & mentors, as well as character development projects completed outside of URSA Academy!";"N/A";"N/A";"Fitness Kickboxing";"N/A";"N/A";"N/A";"Kris Magers";"1 free trial class offer!";"Reception@URSAAcademy.com";"https://www.facebook.com/URSAAcademy/";"http://www.youtube.com/user/rjjaannarbor?sub_confirmation=1";"https://youtu.be/KLJcRiU_HVM";"N/A";"Yes";
"GRBJJ";"http://www.grbjj.net/";" +1 616-914-5639";"3210 Jefferson Ave SE";"Grand Rapids";"MI";49548;;"United States";;;;;;;;;;;;;;;;;;;"Unavailable Website."
"Pro-Karate Grand Rapids";"http://pro-karate.com/";" +1 616-538-5222";"652 28th St SW Ste B";"Grand Rapids";"MI";49509;"5/5 Stars";"United States";"Hi, my name is Brian Lentz, owner of Professional Karate in Wyoming, MI, and I want to welcome you to our website!

We have been honored to be able to serve the Wyoming are for years, and we'd be even more honored to be able to serve you and your family.

At Pro-Karate, we wholeheartedly believe that Martial Arts training can change lives. From increased Fitness levels and Quality of Life for Adults, to greater Confidence and Self Esteem for Children, we’ve seen firsthand the benefits that people receive from Martial Arts training, and we want to share those benefits with you!

So take a moment to look around our website; we offer multiple programs to fit your needs. If you see something you think might benefit you or your family, we encourage you to enroll for a No Obligation Trial.

We can’t wait to meet you!";"http://pro-karate.newmemberwebsites.com/wp-content/uploads/sites/76/2016/06/logo.png";"http://pro-karate.com/kids/";"
Imagine Your Child As A Confident, Strong, Self-Assured Leader
In Fact, Let's Not Imagine. Let's Make It Happen, Together.

First, A Note From Our Instructor:

Hi, my name is Brian Lentz, owner of Professional Karate in Wyoming, MI. I want to take a moment to welcome you to our website and to say THANK YOU for considering Martial Arts for your child. I've taught kids martial arts classes for years and as you can imagine, I've seen every kind of personality you can think of in a child. Rambunctious, shy, defiant, complacent...every child is different, with special gifts to give and challenges to overcome, and I've seen Martial Arts classes help every single one of them find their inner strength, peace, and focus.

We've seen ultra-shy kids burst out of their shell, ADD and ADHD kids learn how to control themselves, socially awkward kids learn how to make and keep friends, and even helped special needs children find a place to fit in and feel accepted. So, what I'll do on this page is tell you a little about what our focus is in our classes, and what methods we use to achieve our results. Take a look at what we do, and see if our philosophy on the Martial Arts mat lines up with your goals as a parent, and if what we teach would be beneficial in your child's life. Again, THANK YOU for considering Martial Arts - it was literally the BEST thing that ever happened to me when I was young, and I think it's possible that it could be the same for your child.
School Pressure, Peer Pressure, Instilling Proper Values, Demanding Extra Curricular Activities
Sound Familiar?

I know what parents like you are facing. I've met thousands of parents just like you and I have to tell you, it's a tough time for kids these days.

Most parents I meet are dealing with these daily 21st Century demands as well as they can, but sometimes the signs of the pressure are obvious. When new students come into our school we often see:

Inability to Focus
It’s usually not malicious, they just have a really hard time focusing.

Difficulty Engaging with Peers or Authority Figures
Parents often see this as a lack of respect (It’s NOT! But it’s still important to overcome).

Lack of Motivation
It’s really hard to be a kid and have people telling you all day what to do. Some kids just shut down and lose their sense of personal motivation.

Crippling Shyness
Eyes on the floor, shoulders down, frozen in fear.

Lack of Follow Through or Perseverance
It’s really hard for a child to see past the “now” and keep at something consistently.

Low Fitness Levels
Childhood Obesity isn’t just a new buzzword. When iPads and Phones are a dime a dozen, getting kids to get off the couch and move is a real challenge.


It Can All Change
Within a Few Weeks, Parents Say They See Their Children Learn:

    Increased Confidence

    Confidence, especially in our Martial Arts classes, is the difference between what a child can actually do vs. what they think they can do. You’ll see them grow more and more confident, and confront new challenges both inside and outside of our school with a sense of drive and purpose.
    The Ability to Defend Themselves Mentally, Emotionally AND Physically

    If they ever need it, your child will absolutely be able to defend themselves physically. But far more importantly, they’ll be able to fend off the mental onslaught of peer pressure and the emotional weight of bullying and unkind behavior. These are things they’ll desperately need as they grow older.
    Soaring Self Esteem

    The most important thing your child will get in our classes is a tremendously positive sense of self. They’ll be able to objectively recognize things they need to improve (homework, family interaction, physical effort) without feeling hopeless, and they’ll take pride in the things they get right without discounting or minimizing their achievements. This will be invaluable for them as adults.
    An Appreciation for Exercise

    If you want kids to stay healthy, they have to enjoy their exercise. Our classes are so much fun, your child will beg to come. They’ll actually love doing pushups, jumping jacks and crunches. They’ll take pride in their improved flexibility and stamina, and they’ll leave class everyday sweating and smiling.

...But How?

How? The Answer isn’t rocket science, and honestly, We feel blessed to have discovered it. It's simple and subtle, but when you see it in person (especially as a parent) It’s almost Magical. ""The Answer"" solves every one of the issues we mentioned, and more.

Click one of the buttons on this page and we'll share ""The Answer"" with you, plus show you our Schedule and Trial offer.
";"N/A";"N/A";"Kickboxing";"N/A";"Schedule available after signup!";"Monday: 3:30 PM - 8:00 PM
Tuesday: 3:00 PM - 8:15 PM
Wednesday: 3:30 PM - 9:00 PM
Thursday: 3:00 PM - 8:15 PM
Friday: 3:45 PM - 8:00 PM
Saturday: 11:45 AM - 1:15 PM
Sunday: CLOSED";"Brian Lentz";"N/A";"ed.taylor@pro-karate.com";"https://www.facebook.com/ProKarateCenter/";"N/A";"N/A";"N/A";"No";
"Triumph Training Center";"http://www.triumphgym.com/";" +1 616-450-3842";"1251 Plainfield Ave NE";"Grand Rapids";"MI";49505;;"United States";"Triumph Training Center is Grand Rapids biggest and best source for Mixed Martial Arts, Muay Thai, and Brazilian Jiu-Jitsu. We've got it all under one roof. Come on in for a free class, check out our facilities, meet our instructors, and see for yourself. ";"http://www.triumphgym.com/wp-content/uploads/2016/03/Triumph-Training-Center-with-Logo-850x100t.png";"N/A";"N/A";"N/A";"N/A";"Muay Thai, Mixed Martial Arts";"At Triumph Training Center we have a no-nonsense tuition policy. We do not use contracts. The rate for adults is $95.00 per month. The rate for kids is $60.00 per month. The family rate is $180.00 per month. The drop-in fee is $20. Stop by for details. Your monthly tuition covers all of the Jiu-Jitsu, Muay Thai, and mixed martial arts classes for your skill level. ";"http://www.triumphgym.com/schedule/";"Monday: 5:00 PM - 8:00 PM
Tuesday: 5:00 PM - 8:00 PM
Wednesday: 5:00 PM - 8:00 PM
Thursday: 5:00 PM - 8:00 PM
Friday: 5:00 PM - 8:00 PM
Saturday: 9:00 AM - 2:00 PM
Sunday: CLOSED";"N/A";"1 free trial class offer!";"info@triumphgym.com";"https://www.facebook.com/triumph.mma/";"N/A";"N/A";"N/A";"No";
"American Martial Arts & Fitness Academy";"http://www.lansingmiselfdefense.com/";" +1 517-803-2800";"402 E Saginaw St";"Lansing";"MI";48906;;"United States";;;;;;;;;;;;;;;;;;;"Unavailable Website."
